id,mailing_design_id,clinic_id,clinic_af_file_id,printer_id,printer_product_id,printed_qty,distributor_id,distributor_service_id,distributed_stand_qty,distributed_doordrop_qty,"deleted_at","created_at","updated_at"
137,7,47,,5,5,54012,2,5,0,54012,,"2019-10-23 14:00:03","2019-10-25 11:34:39"
138,7,74,,5,5,67000,2,5,0,67000,,"2019-10-23 14:00:03","2019-10-25 11:34:40"
139,7,174,,5,5,59000,2,5,0,59000,,"2019-10-23 14:00:03","2019-10-25 11:34:46"
140,7,216,,5,5,90600,2,5,0,90600,,"2019-10-23 14:00:03","2019-10-25 11:34:47"
141,7,8,,5,5,40000,4,14,0,40000,,"2019-10-23 14:00:03","2019-10-25 11:34:36"
142,7,12,,5,5,50000,4,14,0,50000,,"2019-10-23 14:00:03","2019-10-25 11:34:37"
143,7,48,,5,5,35000,4,14,0,35000,,"2019-10-23 14:00:03","2019-10-25 11:34:39"
144,7,54,,5,5,55000,4,14,0,55000,,"2019-10-23 14:00:03","2019-10-25 11:34:40"
145,7,55,,5,5,45000,4,14,0,45000,,"2019-10-23 14:00:03","2019-10-25 11:34:40"
146,7,135,,5,5,45000,4,14,0,45000,,"2019-10-23 14:00:03","2019-10-25 11:34:44"
147,7,162,,5,5,40000,4,14,0,40000,,"2019-10-23 14:00:03","2019-10-25 11:34:46"
148,7,185,,5,5,53540,4,14,0,53540,,"2019-10-23 14:00:03","2019-10-25 11:34:47"
149,7,217,,5,5,50000,4,14,0,50000,,"2019-10-23 14:00:03","2019-10-25 11:34:38"
150,7,39,,5,5,60000,4,14,0,60000,,"2019-10-23 14:00:03","2019-10-25 11:34:38"
151,7,226,,5,5,50000,4,14,0,50000,,"2019-10-23 14:00:03","2019-10-25 11:34:48"
152,7,63,,5,5,50000,4,14,0,50000,,"2019-10-23 14:00:04","2019-10-25 11:34:40"
153,7,144,,5,5,65100,4,14,100,65000,,"2019-10-23 14:00:04","2019-10-25 11:34:45"
154,7,157,,5,5,65000,4,14,0,65000,,"2019-10-23 14:00:04","2019-10-25 11:34:45"
155,7,184,,5,5,60100,4,14,100,60000,,"2019-10-23 14:00:04","2019-10-25 11:34:47"
156,7,189,,5,5,60300,4,14,300,60000,,"2019-10-23 14:00:04","2019-10-25 11:34:47"
157,7,190,,5,5,60300,4,14,300,60000,,"2019-10-23 14:00:04","2019-10-25 11:34:47"
158,7,191,,5,5,55300,4,14,300,55000,,"2019-10-23 14:00:04","2019-10-25 11:34:47"
159,7,17,,5,5,70100,2,15,0,70100,,"2019-10-23 14:00:04","2019-10-25 11:34:37"
160,7,128,,5,5,55700,2,15,0,55700,,"2019-10-23 14:00:04","2019-10-25 11:34:44"
161,7,218,,5,5,41300,2,15,0,41300,,"2019-10-23 14:00:04","2019-10-25 11:34:39"
162,7,228,,5,5,55669,2,15,0,55669,,"2019-10-23 14:00:04","2019-10-25 11:34:37"
163,7,145,,5,5,40250,2,15,0,40250,,"2019-10-23 14:00:04","2019-10-25 11:34:45"
164,7,211,,5,5,80500,2,15,0,80500,,"2019-10-23 14:00:04","2019-10-25 11:34:38"
165,7,1,,5,5,65000,3,16,0,65000,,"2019-10-23 14:00:04","2019-10-25 11:34:36"
166,7,57,,5,5,35000,3,16,0,35000,,"2019-10-23 14:00:04","2019-10-25 11:34:40"
167,7,166,,5,5,35400,3,16,400,35000,,"2019-10-23 14:00:04","2019-10-25 11:34:46"
168,7,96,,5,5,40000,3,17,0,40000,,"2019-10-23 14:00:04","2019-10-25 11:34:42"
169,7,136,,5,5,30400,3,16,400,30000,,"2019-10-23 14:00:04","2019-10-25 11:34:44"
170,7,147,,5,5,30150,3,16,150,30000,,"2019-10-23 14:00:04","2019-10-25 11:34:45"
171,7,196,,5,5,32700,3,16,200,32500,,"2019-10-23 14:00:04","2019-10-25 13:52:09"
172,7,197,,5,5,32700,3,16,200,32500,,"2019-10-23 14:00:04","2019-10-25 13:52:09"
173,7,199,,5,5,20150,3,16,150,20000,,"2019-10-23 14:00:04","2019-10-25 11:34:48"
174,7,3,,5,5,116900,2,12,400,116500,,"2019-10-23 14:00:04","2019-10-25 11:34:36"
175,7,6,,5,5,36250,2,12,0,36250,,"2019-10-23 14:00:05","2019-10-25 13:48:15"
176,7,7,,5,5,36250,2,12,0,36250,,"2019-10-23 14:00:05","2019-10-25 13:48:15"
177,7,9,,5,5,69786,2,12,0,69786,,"2019-10-23 14:00:05","2019-10-25 11:34:36"
178,7,16,,5,5,54000,2,12,0,54000,,"2019-10-23 14:00:05","2019-10-25 11:34:37"
179,7,33,,5,5,51000,2,12,0,51000,,"2019-10-23 14:00:05","2019-10-25 11:34:38"
180,7,42,,5,5,88900,2,12,0,88900,,"2019-10-23 14:00:05","2019-10-25 11:34:39"
181,7,43,,5,5,54500,2,12,0,54500,,"2019-10-23 14:00:05","2019-10-25 11:34:39"
182,7,46,,5,5,46475,2,12,0,46475,,"2019-10-23 14:00:05","2019-10-25 11:34:39"
183,7,60,,5,5,47949,2,12,250,47699,,"2019-10-23 14:00:05","2019-10-25 11:34:40"
184,7,61,,5,5,45722,2,12,250,45472,,"2019-10-23 14:00:05","2019-10-25 11:34:40"
185,7,66,,5,5,77952,2,12,0,77952,,"2019-10-23 14:00:05","2019-10-25 11:34:40"
186,7,90,,5,5,98656,2,12,0,98656,,"2019-10-23 14:00:05","2019-10-25 11:34:41"
187,7,97,,5,5,41940,2,12,0,41940,,"2019-10-23 14:00:05","2019-10-25 14:10:47"
188,7,98,,5,5,41940,2,12,0,41940,,"2019-10-23 14:00:05","2019-10-25 14:10:47"
189,7,100,,5,5,79753,2,12,400,79353,,"2019-10-23 14:00:05","2019-10-25 11:34:42"
190,7,101,,5,5,63179,2,12,0,63179,,"2019-10-23 14:00:05","2019-10-25 11:34:42"
191,7,102,,5,5,38050,2,12,0,38050,,"2019-10-23 14:00:05","2019-10-25 11:34:42"
192,7,103,,5,5,84600,2,12,0,84600,,"2019-10-23 14:00:05","2019-10-25 11:34:42"
193,7,104,,5,5,95374,2,12,0,95374,,"2019-10-23 14:00:05","2019-10-25 11:34:42"
194,7,105,,5,5,75225,2,12,0,75225,,"2019-10-23 14:00:05","2019-10-25 11:34:43"
195,7,106,,5,5,57766,2,12,0,57766,,"2019-10-23 14:00:05","2019-10-25 11:34:43"
196,7,107,,5,5,97588,2,12,0,97588,,"2019-10-23 14:00:05","2019-10-25 11:34:42"
197,7,109,,5,5,66854,2,12,0,66854,,"2019-10-23 14:00:05","2019-10-25 11:34:42"
198,7,111,,5,5,78011,2,12,0,78011,,"2019-10-23 14:00:05","2019-10-25 11:34:42"
199,7,112,,5,5,52280,2,12,0,52280,,"2019-10-23 14:00:05","2019-10-25 14:10:48"
200,7,113,,5,5,52280,2,12,0,52280,,"2019-10-23 14:00:06","2019-10-25 14:10:48"
201,7,115,,5,5,78920,2,12,400,78520,,"2019-10-23 14:00:06","2019-10-25 11:34:43"
202,7,116,,5,5,80723,2,12,0,80723,,"2019-10-23 14:00:06","2019-10-25 11:34:42"
