"id","CMunicipio","CPostal","name","county_id","created_at","updated_at"
"133","002","15229","Ames","15",2017-12-31,2017-12-31
"134","002","16412","Acebrón, El","16",2017-12-31,2017-12-31
"135","002","17181","Aiguaviva","17",2017-12-31,2017-12-31
"136","002","18520","Alamedilla","18",2017-12-31,2017-12-31
"137","002","19442","Ablanque","19",2017-12-31,2017-12-31
"138","002","20150","Aduna","20",2017-12-31,2017-12-31
"139","002","21122","Aljaraque","21",2017-12-31,2017-12-31
"140","002","21120","Aljaraque","21",2017-12-31,2017-12-31
"141","002","21110","Aljaraque","21",2017-12-31,2017-12-31
"142","002","21100","Aljaraque","21",2017-12-31,2017-12-31
"143","002","22393","Abizanda","22",2017-12-31,2017-12-31
"144","002","22392","Abizanda","22",2017-12-31,2017-12-31
"145","002","23688","Alcalá la Real","23",2017-12-31,2017-12-31
"146","002","23689","Alcalá la Real","23",2017-12-31,2017-12-31
"147","002","23680","Alcalá la Real","23",2017-12-31,2017-12-31
"148","002","23684","Alcalá la Real","23",2017-12-31,2017-12-31
"149","002","23685","Alcalá la Real","23",2017-12-31,2017-12-31
"150","002","23686","Alcalá la Real","23",2017-12-31,2017-12-31
"151","002","23691","Alcalá la Real","23",2017-12-31,2017-12-31
"152","002","23692","Alcalá la Real","23",2017-12-31,2017-12-31
"153","002","23687","Alcalá la Real","23",2017-12-31,2017-12-31
"154","002","24238","Algadefe","24",2017-12-31,2017-12-31
"155","002","25691","Àger","25",2017-12-31,2017-12-31
"156","002","25611","Àger","25",2017-12-31,2017-12-31
"157","002","25692","Àger","25",2017-12-31,2017-12-31
"158","002","26160","Agoncillo","26",2017-12-31,2017-12-31
"159","002","27776","Alfoz","27",2017-12-31,2017-12-31
"160","002","27778","Alfoz","27",2017-12-31,2017-12-31
"161","002","27774","Alfoz","27",2017-12-31,2017-12-31
"162","002","27775","Alfoz","27",2017-12-31,2017-12-31
"163","002","27773","Alfoz","27",2017-12-31,2017-12-31
"164","002","28864","Ajalvir","28",2017-12-31,2017-12-31
"165","002","29713","Alcaucín","29",2017-12-31,2017-12-31
"166","002","29711","Alcaucín","29",2017-12-31,2017-12-31
"167","002","30559","Abarán","30",2017-12-31,2017-12-31
"168","002","30550","Abarán","30",2017-12-31,2017-12-31
"169","002","31178","Abárzuza","31",2017-12-31,2017-12-31
"170","002","32170","Amoeiro","32",2017-12-31,2017-12-31
"171","002","32980","Amoeiro","32",2017-12-31,2017-12-31
"172","002","32171","Amoeiro","32",2017-12-31,2017-12-31
"173","002","32172","Amoeiro","32",2017-12-31,2017-12-31
"174","002","33677","Aller","33",2017-12-31,2017-12-31
"175","002","33680","Aller","33",2017-12-31,2017-12-31
"176","002","33670","Aller","33",2017-12-31,2017-12-31
"177","002","33675","Aller","33",2017-12-31,2017-12-31
"178","002","33679","Aller","33",2017-12-31,2017-12-31
"179","002","33678","Aller","33",2017-12-31,2017-12-31
"180","002","33681","Aller","33",2017-12-31,2017-12-31
"181","002","33683","Aller","33",2017-12-31,2017-12-31
"182","002","33684","Aller","33",2017-12-31,2017-12-31
"183","002","33686","Aller","33",2017-12-31,2017-12-31
"184","002","33687","Aller","33",2017-12-31,2017-12-31
"185","002","33676","Aller","33",2017-12-31,2017-12-31
"186","002","33688","Aller","33",2017-12-31,2017-12-31
"187","002","33685","Aller","33",2017-12-31,2017-12-31
"188","002","35119","Agüimes","35",2017-12-31,2017-12-31
"189","002","35270","Agüimes","35",2017-12-31,2017-12-31
"190","002","35260","Agüimes","35",2017-12-31,2017-12-31
"191","002","35269","Agüimes","35",2017-12-31,2017-12-31
"192","002","35118","Agüimes","35",2017-12-31,2017-12-31
"193","002","36190","Barro","36",2017-12-31,2017-12-31
"194","002","36191","Barro","36",2017-12-31,2017-12-31
"195","002","36193","Barro","36",2017-12-31,2017-12-31
"196","002","36194","Barro","36",2017-12-31,2017-12-31
"197","002","36691","Barro","36",2017-12-31,2017-12-31
"198","002","36692","Barro","36",2017-12-31,2017-12-31
"199","002","37510","Agallas","37",2017-12-31,2017-12-31
"200","002","38890","Agulo","38",2017-12-31,2017-12-31
"201","002","38830","Agulo","38",2017-12-31,2017-12-31
"202","002","39850","Ampuero","39",2017-12-31,2017-12-31
"203","002","39849","Ampuero","39",2017-12-31,2017-12-31
"204","002","39840","Ampuero","39",2017-12-31,2017-12-31
"205","002","40192","Adrada de Pirón","40",2017-12-31,2017-12-31
"206","002","41380","Alanís","41",2017-12-31,2017-12-31
"207","002","43718","Albinyana","43",2017-12-31,2017-12-31
